"","Gene.stable.ID","Chromosome.scaffold.name","Karyotype.band","HGNC.symbol","chr.arm"
"44672","ENSG00000103671",15,"q22.31","TRIP4","15q"
"44673","ENSG00000164919",8,"q22.2","COX6C","8q"
"44677","ENSG00000172992",17,"q21.31","DCAKD","17q"
"44678","ENSG00000095906",16,"p13.3","NUBP2","16p"
"44679","ENSG00000172399",4,"q26","MYOZ2","4q"
"44680","ENSG00000039987",19,"p13.13","BEST2","19p"
"44681","ENSG00000128536",7,"q22.3","CDHR3","7q"
"44682","ENSG00000134294",12,"q13.11","SLC38A2","12q"
"44683","ENSG00000015171",10,"p15.3","ZMYND11","10p"
"44684","ENSG00000179873",19,"q13.43","NLRP11","19q"
"44685","ENSG00000180900",8,"q24.3","SCRIB","8q"
"44687","ENSG00000204071",23,"q22.1","TCEAL6","23q"
"44688","ENSG00000119599",14,"q24.2","DCAF4","14q"
"44705","ENSG00000106479",7,"q36.1","ZNF862","7q"
"44706","ENSG00000184515",23,"q22.1","BEX5","23q"
"44707","ENSG00000161714",17,"q21.31","PLCD3","17q"
"44708","ENSG00000019505",11,"p11.2","SYT13","11p"
"44710","ENSG00000163877",1,"p34.3","SNIP1","1p"
"44712","ENSG00000177054",11,"p15.1","ZDHHC13","11p"
"44714","ENSG00000136869",9,"q33.1","TLR4","9q"
"44722","ENSG00000170925",23,"q22.3","TEX13B","23q"
"44725","ENSG00000111229",12,"q24.11","ARPC3","12q"
"44732","ENSG00000092201",14,"q11.2","SUPT16H","14q"
"44734","ENSG00000134970",5,"q22.3","TMED7","5q"
"44736","ENSG00000165684",9,"q34.3","SNAPC4","9q"
"44739","ENSG00000162817",1,"q41","C1orf115","1q"
"44740","ENSG00000158525",7,"q32.2","CPA5","7q"
"44741","ENSG00000011376",3,"p21.31","LARS2","3p"
"44742","ENSG00000160505",19,"q13.43","NLRP4","19q"
"44748","ENSG00000117791",1,"q41","MARC2","1q"
"44753","ENSG00000243414",5,"q22.3","TICAM2","5q"
"44754","ENSG00000172724",9,"p13.3","CCL19","9p"
"44755","ENSG00000132842",5,"q14.1","AP3B1","5q"
"44758","ENSG00000251201",5,"q22.3","TMED7-TICAM2","5q"
"44759","ENSG00000107957",10,"q24.33","SH3PXD2A","10q"
"44760","ENSG00000153283",3,"q13.13","CD96","3q"
"44763","ENSG00000186205",1,"q41","MARC1","1q"
"44765","ENSG00000235621",20,"q13.13","LINC00494","20q"
"44770","ENSG00000154978",7,"p11.2","VOPP1","7p"
"44771","ENSG00000137077",9,"p13.3","CCL21","9p"
"44777","ENSG00000118526",6,"q23.2","TCF21","6q"
"44778","ENSG00000116254",1,"p36.31","CHD5","1p"
"44781","ENSG00000168530",2,"q34","MYL1","2q"
"44782","ENSG00000175220",11,"p11.2","ARHGAP1","11p"
"44787","ENSG00000101842",23,"q22.3","VSIG1","23q"
"44788","ENSG00000134697",1,"p34.3","GNL2","1p"
"44799","ENSG00000136630",1,"q41","HLX","1q"
"44800","ENSG00000172534",23,"q28","HCFC1","23q"
"44802","ENSG00000118402",6,"q14.1","ELOVL4","6q"
"44808","ENSG00000103426",16,"p13.3","CORO7-PAM16","16p"
"44810","ENSG00000116266",1,"p13.3","STXBP3","1p"
"44811","ENSG00000112319",6,"q23.2","EYA4","6q"
"44813","ENSG00000135917",2,"q36.3","SLC19A3","2q"
"44817","ENSG00000109906",11,"q23.2","ZBTB16","11q"
"44818","ENSG00000111231",12,"q24.11","GPN3","12q"
"44827","ENSG00000111261",12,"p13.2","MANSC1","12p"
"44831","ENSG00000143507",1,"q41","DUSP10","1q"
"44836","ENSG00000256771",19,"p13.11","ZNF253","19p"
"44842","ENSG00000163879",1,"p34.3","DNALI1","1p"
"44846","ENSG00000092094",14,"q11.2","OSGEP","14q"
"44848","ENSG00000162032",16,"p13.3","SPSB3","16p"
"44852","ENSG00000142634",1,"p36.21","EFHD2","1p"
"44854","ENSG00000185800",19,"q13.32","DMWD","19q"
"44857","ENSG00000144460",2,"q36.3","NYAP2","2q"
"44858","ENSG00000203761",1,"q22","MSTO2P","1q"
"44863","ENSG00000224287",2,"q37.1","MSL3P1","2q"
"44869","ENSG00000177494",3,"q13.13","ZBED2","3q"
"44873","ENSG00000217930",16,"p13.3","PAM16","16p"
"44874","ENSG00000082515",5,"q33.2","MRPL22","5q"
"44879","ENSG00000166741",11,"q23.2","NNMT","11q"
"44880","ENSG00000126858",17,"q11.2","RHOT1","17q"
"44881","ENSG00000204671",12,"q24.31","IL31","12q"
"44884","ENSG00000129518",14,"q13.1","EAPP","14q"
"44886","ENSG00000169047",2,"q36.3","IRS1","2q"
"44890","ENSG00000158113",12,"q24.31","LRRC43","12q"
"44894","ENSG00000111832",6,"q22.1","RWDD1","6q"
"44895","ENSG00000257108",16,"p13.3","NHLRC4","16p"
"44897","ENSG00000175548",12,"q12","ALG10B","12q"
"44900","ENSG00000184635",19,"p12","ZNF93","19p"
"44903","ENSG00000179841",14,"q23.3","AKAP5","14q"
"44904","ENSG00000007541",16,"p13.3","PIGQ","16p"
"44905","ENSG00000197536",5,"q31.1","C5orf56","5q"
"44908","ENSG00000171560",4,"q31.3","FGA","4q"
"44909","ENSG00000205791",12,"p13.2","LOH12CR2","12p"
"44910","ENSG00000126804",14,"q23.3","ZBTB1","14q"
"44914","ENSG00000167972",16,"p13.3","ABCA3","16p"
"44916","ENSG00000205108",9,"p13.3","FAM205A","9p"
"44917","ENSG00000204856",12,"q24.11","FAM216A","12q"
"44918","ENSG00000143512",1,"q41","HHIPL2","1q"
"44919","ENSG00000198670",6,"q26","LPA","6q"
"44921","ENSG00000159210",17,"q21.32","SNF8","17q"
"44929","ENSG00000089775",14,"q23.3","ZBTB25","14q"
"44930","ENSG00000158458",5,"q31.2","NRG2","5q"
"44931","ENSG00000160094",1,"p35.1","ZNF362","1p"
"44935","ENSG00000127364",7,"q34","TAS2R4","7q"
"44939","ENSG00000049089",1,"p34.2","COL9A2","1p"
"44940","ENSG00000173572",19,"q13.43","NLRP13","19q"
"44942","ENSG00000127362",7,"q34","TAS2R3","7q"
"44944","ENSG00000144468",2,"q36.3","RHBDD1","2q"
"44945","ENSG00000106028",7,"q34","SSBP1","7q"
"44948","ENSG00000100714",14,"q23.3","MTHFD1","14q"
"44958","ENSG00000125347",5,"q31.1","IRF1","5q"
"44962","ENSG00000116670",1,"p36.22","MAD2L2","1p"
"44963","ENSG00000143498",1,"q41","TAF1A","1q"
"44966","ENSG00000179709",19,"q13.43","NLRP8","19q"
"44967","ENSG00000178078",19,"p13.3","STAP2","19p"
"44970","ENSG00000087116",5,"q35.3","ADAMTS2","5q"
"44972","ENSG00000197774",16,"p13.3","EME2","16p"
"44975","ENSG00000189144",19,"q13.13","ZNF573","19q"
"44978","ENSG00000181781",19,"p13.3","ODF3L2","19p"
"44979","ENSG00000184047",12,"q24.31","DIABLO","12q"
"44980","ENSG00000171487",19,"q13.43","NLRP5","19q"
"44981","ENSG00000116251",1,"p36.31","RPL22","1p"
"44982","ENSG00000197124",19,"p12","ZNF682","19p"
"44985","ENSG00000151164",12,"q24.11","RAD9B","12q"
"44986","ENSG00000099769",16,"p13.3","IGFALS","16p"
"44987","ENSG00000168140",16,"p13.3","VASN","16p"
"44990","ENSG00000103168",16,"q24.1","TAF1C","16q"
"44991","ENSG00000164600",7,"p14.3","NEUROD6","7p"
"44993","ENSG00000262246",16,"p13.3","CORO7","16p"
"44995","ENSG00000232455",3,"p21.31","LARS2-AS1","3p"
"44997","ENSG00000177854",23,"q28","TMEM187","23q"
"44998","ENSG00000134686",1,"p35.1","PHC2","1p"
"44999","ENSG00000162924",2,"p16.1","REL","2p"
"45001","ENSG00000121749",12,"q21.1","TBC1D15","12q"
"45005","ENSG00000141933",19,"p13.3","TPGS1","19p"
"45007","ENSG00000205426",12,"q13.13","KRT81","12q"
"45008","ENSG00000170476",5,"q31.2","MZB1","5q"
"45011","ENSG00000099866",19,"p13.3","MADCAM1","19p"
"45013","ENSG00000126803",14,"q23.3","HSPA2","14q"
"45016","ENSG00000080224",3,"q11.2","EPHA6","3q"
"45017","ENSG00000116237",1,"p36.31","ICMT","1p"
"45018","ENSG00000132604",16,"q22.1","TERF2","16q"
"45024","ENSG00000183072",5,"q35.1","NKX2-5","5q"
"45025","ENSG00000128951",15,"q21.1","DUT","15q"
"45027","ENSG00000025796",6,"q21","SEC63","6q"
"45028","ENSG00000188782",1,"p36.11","CATSPER4","1p"
"45029","ENSG00000170442",12,"q13.13","KRT86","12q"
"45030","ENSG00000154305",1,"q41","MIA3","1q"
"45033","ENSG00000165688",9,"q34.3","PMPCA","9q"
"45036","ENSG00000214102",7,"q34","WEE2","7q"
"45040","ENSG00000113522",5,"q31.1","RAD50","5q"
"45046","ENSG00000204099",2,"q37.3","NEU4","2q"
"45048","ENSG00000168830",6,"q14.3","HTR1E","6q"
"45055","ENSG00000238098",16,"p13.3","ABCA17P","16p"
"45058","ENSG00000170638",22,"q13.33","TRABD","22q"
"45061","ENSG00000135480",12,"q13.13","KRT7","12q"
"45062","ENSG00000074054",2,"q14.3","CLASP1","2q"
"45063","ENSG00000169359",3,"q25.31","SLC33A1","3q"
"45064","ENSG00000158286",1,"p36.31","RNF207","1p"
"45069","ENSG00000100167",22,"q13.2","SEPT3","22q"
"45071","ENSG00000139209",12,"q13.11","SLC38A4","12q"
"45075","ENSG00000063127",19,"q13.33","SLC6A16","19q"
"45077","ENSG00000116005",2,"p13.3","PCYOX1","2p"
"45078","ENSG00000081052",2,"q36.3","COL4A4","2q"
"45079","ENSG00000113722",5,"q32","CDX1","5q"
"45080","ENSG00000007237",17,"p13.1","GAS7","17p"
"45081","ENSG00000174928",3,"q25.31","C3orf33","3q"
"45087","ENSG00000111237",12,"q24.11","VPS29","12q"
"45089","ENSG00000236200",1,"p34.1","KDM4A-AS1","1p"
"45090","ENSG00000165244",9,"q22.32","ZNF367","9q"
"45091","ENSG00000162438",1,"p36.21","CTRC","1p"
"45093","ENSG00000168658",2,"q11.2","VWA3B","2q"
"45103","ENSG00000066135",1,"p34.2","KDM4A","1p"
"45104","ENSG00000011083",5,"q32","SLC6A7","5q"
"45106","ENSG00000169862",5,"p15.2","CTNND2","5p"
"45108","ENSG00000111834",6,"q22.1","RSPH4A","6q"
"45110","ENSG00000139719",12,"q24.31","VPS33A","12q"
"45121","ENSG00000180357",15,"q22.31","ZNF609","15q"
"45132","ENSG00000113739",5,"q35.2","STC2","5q"
"45134","ENSG00000147869",9,"p22.3","CER1","9p"
"45139","ENSG00000154252",2,"q37.3","GAL3ST2","2q"
"45140","ENSG00000135678",12,"q15","CPM","12q"
"45142","ENSG00000070808",5,"q32","CAMK2A","5q"
"45146","ENSG00000114349",3,"p21.31","GNAT1","3p"
"45151","ENSG00000229474",15,"q21.1","PATL2","15q"
"45157","ENSG00000081377",9,"q22.33","CDC14B","9q"
"45158","ENSG00000256229",19,"p12","ZNF486","19p"
"45160","ENSG00000183668",19,"q13.31","PSG9","19q"
"45163","ENSG00000130653",9,"q34.3","PNPLA7","9q"
"45166","ENSG00000135346",6,"q14.3","CGA","6q"
"45176","ENSG00000076053",11,"q23.2","RBM7","11q"
"45177","ENSG00000213988",19,"p12","ZNF90","19p"
"45180","ENSG00000170325",11,"q24.3","PRDM10","11q"
"45182","ENSG00000284934",12,"q24.31","DIABLO","12q"
"45183","ENSG00000140955",16,"q24.1","ADAD2","16q"
"45186","ENSG00000141371",17,"q23.2","C17orf64","17q"
"45189","ENSG00000168135",22,"q13.1","KCNJ4","22q"
"45193","ENSG00000143390",1,"q21.3","RFX5","1q"
"45195","ENSG00000162819",1,"q41","BROX","1q"
"45196","ENSG00000176383",12,"q24.31","B3GNT4","12q"
"45197","ENSG00000101843",23,"q22.3","PSMD10","23q"
"45200","ENSG00000170832",17,"q23.2","USP32","17q"
"45201","ENSG00000126822",14,"q23.3","PLEKHG3","14q"
"45204","ENSG00000169194",5,"q31.1","IL13","5q"
"45206","ENSG00000167123",9,"q34.11","CERCAM","9q"
"45209","ENSG00000132718",1,"q22","SYT11","1q"
"45211","ENSG00000001497",23,"q12","LAS1L","23q"
"45212","ENSG00000170469",5,"q31.2","SPATA24","5q"
"45216","ENSG00000154099",16,"q24.1","DNAAF1","16q"
"45218","ENSG00000143622",1,"q22","RIT1","1q"
"45223","ENSG00000139117",12,"q12","CPNE8","12q"
"45224","ENSG00000113525",5,"q31.1","IL5","5q"
"45226","ENSG00000129515",14,"q13.1","SNX6","14q"
"45228","ENSG00000132906",1,"p36.21","CASP9","1p"
"45229","ENSG00000144488",2,"q37.3","ESPNL","2q"
"45230","ENSG00000180425",11,"q23.2","C11orf71","11q"
"45232","ENSG00000100196",22,"q13.1","KDELR3","22q"
"45235","ENSG00000258429",16,"q22.1","PDF","16q"
"45238","ENSG00000070182",14,"q23.3","SPTB","14q"
"45240","ENSG00000076043",11,"q23.2","REXO2","11q"
"45241","ENSG00000168802",16,"q22.1","CHTF8","16q"
"45248","ENSG00000100201",22,"q13.1","DDX17","22q"
"45252","ENSG00000170523",12,"q13.13","KRT83","12q"
"45254","ENSG00000171557",4,"q32.1","FGG","4q"
"45266","ENSG00000226650",5,"q33.2","KIF4B","5q"
"45267","ENSG00000186063",1,"q41","AIDA","1q"
"45271","ENSG00000110799",12,"p13.31","VWF","12p"
"45273","ENSG00000170858",19,"q13.42","LILRP2","19q"
"45275","ENSG00000184545",11,"p15.5","DUSP8","11p"
"45286","ENSG00000122194",6,"q26","PLG","6q"
"45288","ENSG00000205867",11,"p15.5","KRTAP5-2","11p"
"45289","ENSG00000139154",12,"p12.3","AEBP2","12p"
"45290","ENSG00000205869",11,"p15.5","KRTAP5-1","11p"
"45293","ENSG00000196911",6,"q22.1","KPNA5","6q"
"45295","ENSG00000186469",14,"q22.1","GNG2","14q"
"45296","ENSG00000182154",9,"q34.3","MRPL41","9q"
"45297","ENSG00000103044",16,"q22.1","HAS3","16q"
"45300","ENSG00000144550",3,"p25.3","CPNE9","3p"
"45302","ENSG00000197520",1,"q41","FAM177B","1q"
"45304","ENSG00000152558",11,"q22.2","TMEM123","11q"
"45305","ENSG00000175854",9,"q34.11","SWI5","9q"
"45306","ENSG00000130669",19,"q13.2","PAK4","19q"
"45307","ENSG00000130956",9,"q22.32","HABP4","9q"
"45309","ENSG00000224389",6,"p21.33","C4B","6p"
"45310","ENSG00000132612",16,"q22.1","VPS4A","16q"
"45312","ENSG00000142409",19,"q13.43","ZNF787","19q"
"45316","ENSG00000132603",16,"q22.1","NIP7","16q"
"45317","ENSG00000167633",19,"q13.42","KIR3DL1","19q"
"45320","ENSG00000067445",23,"p11.21","TRO","23p"
"45323","ENSG00000173080",1,"q22","RXFP4","1q"
"45325","ENSG00000175213",11,"p11.2","ZNF408","11p"
"45330","ENSG00000167110",9,"q34.11","GOLGA2","9q"
"45332","ENSG00000135443",12,"q13.13","KRT85","12q"
"45333","ENSG00000163738",4,"q13.3","MTHFD2L","4q"
"45334","ENSG00000236409",3,"p21.31","NRADDP","3p"
"45336","ENSG00000142615",1,"p36.21","CELA2A","1p"
"45337","ENSG00000169683",17,"q25.3","LRRC45","17q"
"45339","ENSG00000204934",7,"q36.1","ATP6V0E2-AS1","7q"
"45340","ENSG00000111266",12,"p13.2","DUSP16","12p"
"45343","ENSG00000154309",1,"q41","DISP1","1q"
"45348","ENSG00000197299",15,"q26.1","BLM","15q"
"45349","ENSG00000171130",7,"q36.1","ATP6V0E2","7q"
"45350","ENSG00000265293",17,"q11.2","ARGFXP2","17q"
"45351","ENSG00000117682",1,"p36.11","DHDDS","1p"
"45353","ENSG00000168807",16,"q22.1","SNTB2","16q"
"45355","ENSG00000170624",5,"q33.2","SGCD","5q"
"45358","ENSG00000132773",1,"p34.1","TOE1","1p"
"45359","ENSG00000121281",16,"q12.1","ADCY7","16q"
"45360","ENSG00000109576",4,"q33","AADAT","4q"
"45363","ENSG00000161850",12,"q13.13","KRT82","12q"
"45364","ENSG00000187554",1,"q41","TLR5","1q"
"45367","ENSG00000215704",1,"p36.21","CELA2B","1p"
"45368","ENSG00000185056",5,"q35.2","C5orf47","5q"
"45372","ENSG00000161849",12,"q13.13","KRT84","12q"
"45377","ENSG00000125861",20,"p13","GFRA4","20p"
"45382","ENSG00000213380",16,"q22.1","COG8","16q"
"45383","ENSG00000125498",19,"q13.42","KIR2DL1","19q"
"45385","ENSG00000173250",5,"q32","GPR151","5q"
"45388","ENSG00000168427",2,"q37.3","KLHL30","2q"
"45389","ENSG00000069509",23,"p11.3","FUNDC1","23p"
"45397","ENSG00000005175",12,"q13.11","RPAP3","12q"
"45400","ENSG00000170454",12,"q13.13","KRT75","12q"
"45407","ENSG00000121957",1,"p13.3","GPSM2","1p"
"45408","ENSG00000136931",9,"q33.3","NR5A1","9q"
"45410","ENSG00000226950",4,"q12","DANCR","4q"
"45411","ENSG00000132781",1,"p34.1","MUTYH","1p"
"45412","ENSG00000121903",1,"p35.1","ZSCAN20","1p"
"45414","ENSG00000243244",2,"p16.3","STON1","2p"
"45420","ENSG00000157315",16,"q22.1","TMED6","16q"
"45422","ENSG00000226887",4,"q12","ERVMER34-1","4q"
"45423","ENSG00000158528",7,"q21.3","PPP1R9A","7q"
"45424","ENSG00000183807",6,"q22.1","FAM162B","6q"
"45426","ENSG00000166710",15,"q21.1","B2M","15q"
"45428","ENSG00000032219",14,"q23.1","ARID4A","14q"
"45429","ENSG00000198393",12,"q24.33","ZNF26","12q"
"45430","ENSG00000243772",19,"q13.42","KIR2DL3","19q"
"45433","ENSG00000116584",1,"q22","ARHGEF2","1q"
"45436","ENSG00000064652",5,"q23.2","SNX24","5q"
"45437","ENSG00000173612",6,"q22.1","GPRC6A","6q"
"45440","ENSG00000079999",19,"p13.2","KEAP1","19p"
"45441","ENSG00000128254",22,"q12.3","C22orf24","22q"
"45442","ENSG00000221957",19,"q13.42","KIR2DS4","19q"
"45444","ENSG00000249553",5,"q32","PPP2R2B-IT1","5q"
"45445","ENSG00000128245",22,"q12.3","YWHAH","22q"
"45448","ENSG00000242441",2,"p16.3","GTF2A1L","2p"
"45449","ENSG00000259823",1,"q44","LYPD8","1q"
"45450","ENSG00000141837",19,"p13.13","CACNA1A","19p"
"45451","ENSG00000143502",1,"q41","SUSD4","1q"
"45453","ENSG00000156475",5,"q32","PPP2R2B","5q"
"45454","ENSG00000189013",19,"q13.42","KIR2DL4","19q"
"45458","ENSG00000233220",11,"q24.3","LINC00167","11q"
"45461","ENSG00000040487",1,"p36.13","PQLC2","1p"
"45462","ENSG00000250709",13,"q13.3","CCDC169-SOHLH2","13q"
"45463","ENSG00000196850",12,"q24.11","PPTC7","12q"
"45464","ENSG00000183876",5,"q32","ARSI","5q"
"45466","ENSG00000157106",16,"p12.3","SMG1","16p"
"45467","ENSG00000175137",1,"q44","SH3BP5L","1q"
"45468","ENSG00000166961",11,"q12.2","MS4A15","11q"
"45473","ENSG00000149527",1,"p36.32","PLCH2","1p"
"45474","ENSG00000158864",1,"q23.3","NDUFS2","1q"
"45475","ENSG00000100150",22,"q12.2","DEPDC5","22q"
"45476","ENSG00000171161",1,"q44","ZNF672","1q"
"45477","ENSG00000172572",12,"p12.2","PDE3A","12p"
"45479","ENSG00000126603",16,"p13.3","GLIS2","16p"
"45485","ENSG00000242715",13,"q13.3","CCDC169","13q"
"45491","ENSG00000261678",8,"q24.3","SCRT1","8q"
"45493","ENSG00000135069",9,"q21.2","PSAT1","9q"
"45497","ENSG00000119715",14,"q24.3","ESRRB","14q"
"45498","ENSG00000166164",16,"q12.1","BRD7","16q"
"45500","ENSG00000074181",19,"p13.12","NOTCH3","19p"
"45501","ENSG00000110076",11,"q13.1","NRXN2","11q"
"45502","ENSG00000138395",2,"q33.1","CDK15","2q"
"45504","ENSG00000170312",10,"q21.2","CDK1","10q"
"45509","ENSG00000164414",6,"q15","SLC35A1","6q"
"45511","ENSG00000121940",1,"p13.3","CLCC1","1p"
"45515","ENSG00000171163",1,"q44","ZNF692","1q"
"45520","ENSG00000115685",2,"q37.3","PPP1R7","2q"
"45524","ENSG00000168938",5,"q23.2","PPIC","5q"
"45527","ENSG00000203697",1,"q41","CAPN8","1q"
"45528","ENSG00000163219",2,"p13.3","ARHGAP25","2p"
"45529","ENSG00000138039",2,"p16.3","LHCGR","2p"
"45530","ENSG00000004776",19,"q13.12","HSPB6","19q"
"45533","ENSG00000204852",12,"q24.11","TCTN1","12q"
"45534","ENSG00000185479",12,"q13.13","KRT6B","12q"
"45537","ENSG00000153140",5,"q14.3","CETN3","5q"
"45540","ENSG00000171102",9,"q34.2","OBP2B","9q"
"45541","ENSG00000136206",7,"p13","SPDYE1","7p"
"45542","ENSG00000170465",12,"q13.13","KRT6C","12q"
"45543","ENSG00000158859",1,"q23.3","ADAMTS4","1q"
"45553","ENSG00000131773",8,"q24.23","KHDRBS3","8q"
"45555","ENSG00000272655",7,"p13","POLR2J4","7p"
"45557","ENSG00000185002",6,"q22.1","RFX6","6q"
"45558","ENSG00000214783",7,"p13","POLR2J4","7p"
"45559","ENSG00000224020",9,"q33.3","MIR181A2HG","9q"
"45561","ENSG00000038274",5,"q34","MAT2B","5q"
"45563","ENSG00000242019",19,"q13.42","KIR3DL3","19q"
"45564","ENSG00000148200",9,"q33.3","NR6A1","9q"
"45568","ENSG00000127527",19,"p13.11","EPS15L1","19p"
"45571","ENSG00000228903",7,"p13","RASA4CP","7p"
"45574","ENSG00000128045",4,"q12","RASL11B","4q"
"45575","ENSG00000198040",12,"q24.33","ZNF84","12q"
"45576","ENSG00000078967",7,"p13","UBE2D4","7p"
"45577","ENSG00000162909",1,"q41","CAPN2","1q"
"45578","ENSG00000164946",9,"p22.3","FREM1","9p"
"45581","ENSG00000205420",12,"q13.13","KRT6A","12q"
"45585","ENSG00000110756",11,"p15.1","HPS5","11p"
"45587","ENSG00000068781",2,"p16.3","STON1-GTF2A1L","2p"
"45588","ENSG00000108255",17,"q11.2","CRYBA1","17q"
"45592","ENSG00000130695",1,"p36.11","CEP85","1p"
"45601","ENSG00000150527",14,"q21.1","MIA2","14q"
"45604","ENSG00000130723",9,"q34.13","PRRC2B","9q"
"45605","ENSG00000183048",17,"q25.3","SLC25A10","17q"
"45606","ENSG00000163479",1,"q22","SSR2","1q"
"45608","ENSG00000099260",1,"p21.2","PALMD","1p"
"45609","ENSG00000104941",19,"q13.32","RSPH6A","19q"
"45610","ENSG00000115365",2,"q34","LANCL1","2q"
"45615","ENSG00000154146",11,"q24.2","NRGN","11q"
"45618","ENSG00000178035",3,"p21.31","IMPDH2","3p"
"45619","ENSG00000112742",6,"q14.1","TTK","6q"
"45622","ENSG00000120669",13,"q13.3","SOHLH2","13q"
"45627","ENSG00000196387",12,"q24.33","ZNF140","12q"
"45639","ENSG00000170162",6,"q22.1","VGLL2","6q"
"45647","ENSG00000262814",17,"q25.3","MRPL12","17q"
"45650","ENSG00000185220",1,"q44","PGBD2","1q"
"45651","ENSG00000162641",1,"p13.3","AKNAD1","1p"
"45659","ENSG00000019102",11,"q24.2","VSIG2","11q"
"45662","ENSG00000164659",7,"q21.12","KIAA1324L","7q"
"45666","ENSG00000156869",1,"p21.2","FRRS1","1p"
"45672","ENSG00000111269",12,"p13.1","CREBL2","12p"
"45673","ENSG00000143514",1,"q41","TP53BP2","1q"
"45675","ENSG00000115009",2,"q36.3","CCL20","2q"
"45676","ENSG00000109016",17,"p11.2","DHRS7B","17p"
"45681","ENSG00000145390",4,"q26","USP53","4q"
"45682","ENSG00000151553",10,"q25.3","FAM160B1","10q"
"45683","ENSG00000164509",5,"q11.2","IL31RA","5q"
"45685","ENSG00000165102",8,"p11.21","HGSNAT","8p"
"45686","ENSG00000071246",14,"q24.3","VASH1","14q"
"45688","ENSG00000113356",5,"q14.3","POLR3G","5q"
"45689","ENSG00000183150",12,"p13.1","GPR19","12p"
"45695","ENSG00000248144",4,"q23","ADH1C","4q"
"45703","ENSG00000180739",19,"p13.2","S1PR5","19p"
"45708","ENSG00000261587",8,"q24.3","TMEM249","8q"
"45709","ENSG00000158869",1,"q23.3","FCER1G","1q"
"45710","ENSG00000185129",5,"q31.3","PURA","5q"
"45711","ENSG00000013523",14,"q24.3","ANGEL1","14q"
"45712","ENSG00000271968",14,"q32.33","ADAM6","14q"
"45713","ENSG00000113966",3,"q11.2","ARL6","3q"
"45723","ENSG00000144481",2,"q37.1","TRPM8","2q"
"45726","ENSG00000196616",4,"q23","ADH1B","4q"
"45730","ENSG00000162928",2,"p15","PEX13","2p"
"45733","ENSG00000149564",11,"q24.2","ESAM","11q"
"45737","ENSG00000182325",8,"q24.3","FBXL6","8q"
"45738","ENSG00000176055",5,"q14.3","MBLAC2","5q"
"45740","ENSG00000197020",19,"p12","ZNF100","19p"
"45741","ENSG00000158874",1,"q23.3","APOA2","1q"
"45743","ENSG00000176974",17,"p11.2","SHMT1","17p"
"45745","ENSG00000180210",11,"p11.2","F2","11p"
"45750","ENSG00000141748",17,"q12","ARL5C","17q"
"45754","ENSG00000171631",11,"q13.4","P2RY6","11q"
"45760","ENSG00000182700",5,"q31.3","IGIP","5q"
"45763","ENSG00000162927",2,"p15","PUS10","2p"
"45767","ENSG00000186081",12,"q13.13","KRT5","12q"
"45776","ENSG00000167685",19,"q13.43","ZNF444","19q"
"45781","ENSG00000130779",12,"q24.31","CLIP1","12q"
"45782","ENSG00000079337",12,"q13.11","RAPGEF3","12q"
"45789","ENSG00000184216",23,"q28","IRAK1","23q"
"45790","ENSG00000223882",3,"q27.1","ABCC5-AS1","3q"
"45791","ENSG00000169031",2,"q36.3","COL4A3","2q"
"45792","ENSG00000185803",8,"q24.3","SLC52A2","8q"
"45793","ENSG00000189037",23,"p11.3","DUSP21","23p"
"45794","ENSG00000114770",3,"q27.1","ABCC5","3q"
"45795","ENSG00000122986",12,"q24.11","HVCN1","12q"
"45803","ENSG00000172689",11,"q12.2","MS4A10","11q"
"45809","ENSG00000184178",4,"q12","SCFD2","4q"
"45815","ENSG00000240891",3,"q13.2","PLCXD2","3q"
"45816","ENSG00000157881",1,"p36.32","PANK4","1p"
"45818","ENSG00000066933",15,"q23","MYO9A","15q"
"45826","ENSG00000137673",11,"q22.2","MMP7","11q"
"45828","ENSG00000124126",20,"q13.13","PREX1","20q"
"45830","ENSG00000198521",19,"p12","ZNF43","19p"
"45835","ENSG00000049618",6,"q25.3","ARID1B","6q"
"45841","ENSG00000090612",12,"q24.33","ZNF268","12q"
"45842","ENSG00000144824",3,"q13.2","PHLDB2","3q"
"45848","ENSG00000138100",2,"p23.3","TRIM54","2p"
"45855","ENSG00000124678",6,"p21.31","TCP11","6p"
"45858","ENSG00000108256",17,"q11.2","NUFIP2","17q"
"45859","ENSG00000143756",1,"q42.11","FBXO28","1q"
"45860","ENSG00000159224",17,"q21.32","GIP","17q"
"45862","ENSG00000168958",2,"q36.3","MFF","2q"
"45863","ENSG00000136044",12,"q23.3","APPL2","12q"
"45864","ENSG00000122779",7,"q33","TRIM24","7q"
"45865","ENSG00000163794",2,"p23.3","UCN","2p"
"45866","ENSG00000176994",17,"p11.2","SMCR8","17p"
"45868","ENSG00000163673",3,"p22.2","DCLK3","3p"
"45872","ENSG00000113068",5,"q31.3","PFDN1","5q"
"45873","ENSG00000143753",1,"q42.11","DEGS1","1q"
"45877","ENSG00000164746",7,"p12.3","C7orf57","7p"
"45878","ENSG00000111276",12,"p13.1","CDKN1B","12p"
"45881","ENSG00000152582",5,"p13.2","SPEF2","5p"
"45882","ENSG00000131269",23,"q13.3","ABCB7","23q"
"45885","ENSG00000143416",1,"q21.3","SELENBP1","1q"
"45886","ENSG00000085511",6,"q26","MAP3K4","6q"
"45887","ENSG00000173928",19,"p13.2","SWSAP1","19p"
